0,"P0{0, 0, 0}"
0,"P1{-0.1453, 0, -1.1232}"
0,"S01{0, 0, -1.60051}"
0,"H02{0, 0, -0.298335}"
0,"H13{0.574013, 0, -3.486141}"
0,"H23{0.548519, 0, -2.560792}"
0,"H24{0.706854, 0, -3.213872}"
0,"H35{0.486931, 0, -0.32534}"
0,"H45{0.862159, 0, -0.818902}"
1,"P0{0, 0, 0}"
1,"P1{-0.1453, 0, -1.1232}"
1,"S01{0.027933, 0, -1.600266}"
1,"H02{0.005207, 0, -0.29829}"
1,"H13{0.697748, 0, -3.444874}"
1,"H23{0.703194, 0, -2.51919}"
1,"H24{0.904675, 0, -3.160274}"
1,"H35{0.716348, 0, -0.282929}"
1,"H45{1.101989, 0, -0.768399}"
2,"P0{0, 0, 0}"
2,"P1{-0.1453, 0, -1.1232}"
2,"S01{0.055857, 0, -1.599535}"
2,"H02{0.010412, 0, -0.298153}"
2,"H13{0.815614, 0, -3.398622}"
2,"H23{0.840198, 0, -2.473248}"
2,"H24{1.079724, 0, -3.101111}"
2,"H35{0.899589, 0, -0.237737}"
2,"H45{1.299848, 0, -0.711227}"
3,"P0{0, 0, 0}"
3,"P1{-0.1453, 0, -1.1232}"
3,"S01{0.083764, 0, -1.598317}"
3,"H02{0.015614, 0, -0.297926}"
3,"H13{0.927382, 0, -3.348117}"
3,"H23{0.965742, 0, -2.423212}"
3,"H24{1.240006, 0, -3.036696}"
3,"H35{1.058414, 0, -0.188833}"
3,"H45{1.474796, 0, -0.648209}"
4,"P0{0, 0, 0}"
4,"P1{-0.1453, 0, -1.1232}"
4,"S01{0.111646, 0, -1.596611}"
4,"H02{0.020811, 0, -0.297608}"
4,"H13{1.032944, 0, -3.294062}"
4,"H23{1.082023, 0, -2.369664}"
4,"H24{1.388352, 0, -2.967783}"
4,"H35{1.200586, 0, -0.136509}"
4,"H45{1.633503, 0, -0.580336}"
5,"P0{0, 0, 0}"
5,"P1{-0.1453, 0, -1.1232}"
5,"S01{0.139494, 0, -1.59442}"
5,"H02{0.026002, 0, -0.2972}"
5,"H13{1.132299, 0, -3.237116}"
5,"H23{1.190144, 0, -2.313225}"
5,"H24{1.526185, 0, -2.89517}"
5,"H35{1.329884, 0, -0.081295}"
5,"H45{1.779173, 0, -0.508541}"
6,"P0{0, 0, 0}"
6,"P1{-0.1453, 0, -1.1232}"
6,"S01{0.167299, 0, -1.591742}"
6,"H02{0.031184, 0, -0.296701}"
6,"H13{1.22553, 0, -3.177884}"
6,"H23{1.290808, 0, -2.254488}"
6,"H24{1.654411, 0, -2.819623}"
6,"H35{1.448507, 0, -0.023755}"
6,"H45{1.913666, 0, -0.433667}"
7,"P0{0, 0, 0}"
7,"P1{-0.1453, 0, -1.1232}"
7,"S01{0.195053, 0, -1.58858}"
7,"H02{0.036358, 0, -0.296111}"
7,"H13{1.312788, 0, -3.11691}"
7,"H23{1.384549, 0, -2.193995}"
7,"H24{1.773718, 0, -2.741838}"
7,"H35{1.557909, 0, 0.035575}"
7,"H45{2.038231, 0, -0.356459}"
8,"P0{0, 0, 0}"
8,"P1{-0.1453, 0, -1.1232}"
8,"S01{0.222748, 0, -1.584934}"
8,"H02{0.04152, 0, -0.295432}"
8,"H13{1.394278, 0, -3.054676}"
8,"H23{1.471821, 0, -2.132229}"
8,"H24{1.884691, 0, -2.662439}"
8,"H35{1.659146, 0, 0.096211}"
8,"H45{2.153802, 0, -0.277574}"
9,"P0{0, 0, 0}"
9,"P1{-0.1453, 0, -1.1232}"
9,"S01{0.250375, 0, -1.580805}"
