in:wing1,in:wing2,out:wing1,out:wing2,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37
0,0,0,0,0.486931,0.486931,0.486931,0.486931,0.486931,3.603747,3.603747,3.603747,3.603747,3.603747,3.603747,0.486931,0.486931,0.486931,0.486931,0.486931,3.603747,3.603747,3.603747,3.603747,3.603747,3.603747,0.486931,3.603747,0.486931,3.603747,0.486931,0.486931,0.486931,0.486931,0.486931,0.486931,3.603747,3.603747,3.603747,3.603747,3.603747,2.2,3.4,4.6,5.8,7,2.2,3.4,4.6,5.8,7,7,1.2,2.4,3.6,4.8,6,1.2,2.4,3.6,4.8,4.8,6,0,0,1,1,1.1,2.3,3.5,4.7,4.7,5.9,1.1,2.3,3.5,4.7,5.9,-0.32534,-0.32534,-0.32534,-0.32534,-0.32534,-4.425091,-4.425091,-4.425091,-4.425091,-4.425091,-4.425091,-0.32534,-0.32534,-0.32534,-0.32534,-0.32534,-4.425091,-4.425091,-4.425091,-4.425091,-4.425091,-4.425091,-0.32534,-4.425091,-0.32534,-4.425091,-0.475076,-0.475076,-0.475076,-0.475076,-0.475076,-0.475076,-4.967951,-4.967951,-4.967951,-4.967951,-4.967951
1,0,1,0,0.64426,0.604928,0.565595,0.526263,0.486931,3.820406,3.766241,3.712076,3.657912,3.603747,3.603747,0.677016,0.637684,0.598351,0.559019,0.519686,3.865484,3.811319,3.757154,3.702989,3.702989,3.648824,0.716348,3.919649,0.683593,3.874571,0.680304,0.640972,0.60164,0.562307,0.562307,0.522975,3.870027,3.815863,3.761698,3.707533,3.653368,2.199556,3.399667,4.599778,5.799889,7,2.199089,3.399317,4.599544,5.799772,7,7,1.200111,2.400222,3.600333,4.800444,6.000555,1.200228,2.400456,3.600683,4.800911,4.800911,6.001139,0,0,0.999445,0.998861,1.099778,2.299889,3.5,4.700111,4.700111,5.900222,1.099544,2.299772,3.5,4.700228,5.900456,-0.296255,-0.303526,-0.310798,-0.318069,-0.32534,-4.349906,-4.368702,-4.387499,-4.406295,-4.425091,-4.425091,-0.2902,-0.297471,-0.304742,-0.312013,-0.319285,-4.334263,-4.35306,-4.371856,-4.390652,-4.390652,-4.409448,-0.282929,-4.315467,-0.288984,-4.33111,-0.439068,-0.446339,-0.45361,-0.460882,-0.460882,-0.468153,-4.875399,-4.894196,-4.912992,-4.931788,-4.950584
2,0,2,0,0.769982,0.699219,0.628456,0.557693,0.486931,4.029608,3.923143,3.816677,3.710212,3.603747,3.603747,0.828826,0.758063,0.687301,0.616538,0.545775,4.117858,4.011392,3.904927,3.798462,3.798462,3.691996,0.899589,4.224323,0.840744,4.136073,0.834785,0.764022,0.69326,0.622497,0.622497,0.551734,4.126966,4.0205,3.914035,3.80757,3.701104,2.198551,3.398913,4.599276,5.799638,7,2.196353,3.397265,4.598177,5.799088,7,7,1.200362,2.400724,3.601087,4.801449,6.001811,1.200912,2.401823,3.602735,4.803647,4.803647,6.004558,0,0,0.998189,0.995442,1.099276,2.299638,3.5,4.700362,4.700362,5.900724,1.098177,2.299088,3.5,4.700912,5.901823,-0.265251,-0.280273,-0.295296,-0.310318,-0.32534,-4.250558,-4.294191,-4.337824,-4.381458,-4.425091,-4.425091,-0.252759,-0.267781,-0.282804,-0.297826,-0.312848,-4.21439,-4.258023,-4.301656,-4.34529,-4.34529,-4.388923,-0.237737,-4.170756,-0.250229,-4.206924,-0.400375,-0.415397,-0.430419,-0.445441,-0.445441,-0.460463,-4.752917,-4.79655,-4.840184,-4.883817,-4.927451
3,0,3,0,0.879034,0.781008,0.682982,0.584957,0.486931,4.231086,4.074251,3.917416,3.760581,3.603747,3.603747,0.960388,0.862363,0.764337,0.666311,0.568285,4.360235,4.203401,4.046566,3.889731,3.889731,3.732896,1.058414,4.51707,0.97706,4.387921,0.968724,0.870698,0.772672,0.674647,0.674647,0.576621,4.374078,4.217243,4.060408,3.903574,3.746739,2.197197,3.397897,4.598598,5.799299,7,2.191873,3.393905,4.595936,5.797968,7,7,1.200701,2.401402,3.602103,4.802803,6.003504,1.202032,2.404064,3.606095,4.808127,4.808127,6.010159,0,0,0.996496,0.989841,1.098598,2.299299,3.5,4.700701,4.700701,5.901402,1.095936,2.297968,3.5,4.702032,5.904064,-0.23168,-0.255095,-0.27851,-0.301925,-0.32534,-4.136277,-4.20848,-4.280684,-4.352888,-4.425091,-4.425091,-0.212248,-0.235663,-0.259078,-0.282492,-0.305907,-4.076819,-4.149023,-4.221226,-4.29343,-4.29343,-4.365633,-0.188833,-4.004616,-0.208266,-4.064073,-0.358319,-0.381734,-0.405149,-0.428564,-0.428564,-0.451979,-4.611934,-4.684137,-4.756341,-4.828545,-4.900748
4,0,4,0,0.976744,0.854291,0.731837,0.609384,0.486931,4.424115,4.219023,4.013931,3.808839,3.603747,3.603747,1.078133,0.955679,0.833226,0.710773,0.588319,4.591499,4.386407,4.181315,3.976223,3.976223,3.771131,1.200586,4.796591,1.099198,4.629207,1.088665,0.966212,0.843758,0.721305,0.721305,0.598852,4.610353,4.405261,4.200169,3.995077,3.789985,2.195588,3.396691,4.597794,5.798897,7,2.185813,3.38936,4.592907,5.796453,7,7,1.201103,2.402206,3.603309,4.804412,6.005515,1.203547,2.407093,3.61064,4.814187,4.814187,6.017733,0,0,0.994485,0.982267,1.097794,2.298897,3.5,4.701103,4.701103,5.902206,1.092907,2.296453,3.5,4.703547,5.907093,-0.195737,-0.228138,-0.260538,-0.292939,-0.32534,-4.011104,-4.114601,-4.218098,-4.321594,-4.425091,-4.425091,-0.16891,-0.20131,-0.233711,-0.266112,-0.298513,-3.926636,-4.030133,-4.13363,-4.237126,-4.237126,-4.340623,-0.136509,-3.823139,-0.163336,-3.907607,-0.313193,-0.345594,-0.377994,-0.410395,-0.410395,-0.442796,-4.457501,-4.560998,-4.664495,-4.767992,-4.871488
5,0,5,0,1.065704,0.921011,0.776317,0.631624,0.486931,4.608111,4.35702,4.105929,3.854838,3.603747,3.603747,1.18519,1.040497,0.895804,0.751111,0.606417,4.81079,4.559699,4.308608,4.057517,4.057517,3.806426,1.329884,5.061881,1.210397,4.859202,1.197794,1.053101,0.908407,0.763714,0.763714,0.619021,4.834996,4.583905,4.332814,4.081723,3.830632,2.193786,3.39534,4.596893,5.798447,7,2.178394,3.383795,4.589197,5.794598,7,7,1.201553,2.403107,3.60466,4.806214,6.007767,1.205402,2.410803,3.616205,4.821606,4.821606,6.027008,0,0,0.992233,0.972992,1.096893,2.298447,3.5,4.701553,4.701553,5.903107,1.089197,2.294598,3.5,4.705402,5.910803,-0.157778,-0.199669,-0.241559,-0.28345,-0.32534,-3.877567,-4.014448,-4.151329,-4.28821,-4.425091,-4.425091,-0.123186,-0.165076,-0.206966,-0.248857,-0.290747,-3.767077,-3.903958,-4.040839,-4.177721,-4.177721,-4.314602,-0.081295,-3.630196,-0.115888,-3.740686,-0.265465,-0.307355,-0.349246,-0.391136,-0.391136,-0.433027,-4.292801,-4.429682,-4.566563,-4.703444,-4.840325
6,0,6,0,1.147419,0.982297,0.817175,0.652053,0.486931,4.782702,4.487963,4.193224,3.898485,3.603747,3.603747,1.283385,1.118263,0.953141,0.788019,0.622897,5.017588,4.72285,4.428111,4.133372,4.133372,3.838633,1.448507,5.312327,1.312541,5.077441,1.297963,1.132841,0.967719,0.802597,0.802597,0.637475,5.047515,4.752776,4.458037,4.163298,3.868559,2.191836,3.393877,4.595918,5.797959,7,2.169858,3.377393,4.584929,5.792464,7,7,1.202041,2.404082,3.606123,4.808164,6.010205,1.207536,2.415071,3.622607,4.830142,4.830142,6.037678,0,0,0.989795,0.962322,1.095918,2.297959,3.5,4.702041,4.702041,5.904082,1.084929,2.292464,3.5,4.707536,5.915071,-0.118187,-0.169976,-0.221764,-0.273552,-0.32534,-3.737535,-3.909424,-4.081313,-4.253202,-4.425091,-4.425091,-0.075544,-0.127332,-0.17912,-0.230908,-0.282696,-3.600552,-3.772441,-3.94433,-4.116219,-4.116219,-4.288108,-0.023755,-3.428663,-0.066399,-3.565646,-0.215628,-0.267416,-0.319204,-0.370992,-0.370992,-0.422781,-4.120188,-4.292077,-4.463966,-4.635855,-4.807744
7,0,7,0,1.22288,1.038893,0.854906,0.670918,0.486931,4.947712,4.611721,4.275729,3.939738,3.603747,3.603747,1.373921,1.189934,1.005947,0.821959,0.637972,5.211688,4.875697,4.539706,4.203714,4.203714,3.867723,1.557909,5.54768,1.406868,5.283703,1.390395,1.206407,1.02242,0.838432,0.838432,0.654445,5.247696,4.911705,4.575713,4.239722,3.903731,2.189773,3.39233,4.594886,5.797443,7,2.160452,3.370339,4.580226,5.790113,7,7,1.202557,2.405114,3.60767,4.810227,6.012784,1.209887,2.419774,3.629661,4.839548,4.839548,6.049435,0,0,0.987216,0.950565,1.094886,2.297443,3.5,4.702557,4.702557,5.905114,1.080226,2.290113,3.5,4.709887,5.919774,-0.077328,-0.139331,-0.201334,-0.263337,-0.32534,-3.592514,-3.800658,-4.008803,-4.216947,-4.425091,-4.425091,-0.026428,-0.088431,-0.150434,-0.212437,-0.27444,-3.428982,-3.637127,-3.845271,-4.053415,-4.053415,-4.26156,0.035575,-3.220838,-0.015325,-3.38437,-0.164145,-0.226148,-0.288151,-0.350154,-0.350154,-0.412157,-3.941551,-4.149695,-4.35784,-4.565984,-4.774128
8,0,8,0,1.292808,1.091339,0.889869,0.6884,0.486931,5.103126,4.728281,4.353436,3.978591,3.603747,3.603747,1.457677,1.256208,1.054738,0.853269,0.6518,5.393137,5.018292,4.643447,4.268602,4.268602,3.893758,1.659146,5.767982,1.494277,5.477971,1.475977,1.274508,1.073039,0.871569,0.871569,0.6701,5.435554,5.060709,4.685864,4.311019,3.936175,2.187625,3.390719,4.593813,5.796906,7,2.150409,3.362807,4.575205,5.787602,7,7,1.203094,2.406187,3.609281,4.812375,6.015468,1.212398,2.424795,3.637193,4.849591,4.849591,6.061988,0,0,0.984532,0.938012,1.093813,2.296906,3.5,4.703094,4.703094,5.906187,1.075205,2.287602,3.5,4.712398,5.924795,-0.035531,-0.107983,-0.180436,-0.252888,-0.32534,-3.443761,-3.689094,-3.934426,-4.179759,-4.425091,-4.425091,0.023759,-0.048693,-0.121145,-0.193598,-0.26605,-3.253952,-3.499284,-3.744617,-3.989949,-3.989949,-4.235282,0.096211,-3.008619,0.036921,-3.198429,-0.111436,-0.183888,-0.25634,-0.328793,-0.328793,-0.401245,-3.758455,-4.003787,-4.24912,-4.494452,-4.739785
9,0,9,0,1.357763,1.140055,0.922347,0.704639,0.486931,5.249056,4.837729,4.426401,4.015074,3.603747,3.603747,1.53534,1.317632,1.099924,0.882216,0.664508,5.562177,5.150849,4.739522,4.328195,4.328195,3.916867,1.753048,5.973504,1.575471,5.660384,1.555406,1.337697,1.119989,0.902281,0.902281,0.684573,5.61128,5.199953,4.788625,4.377298,3.965971,2.185418,3.389063,4.592709,5.796354,7,2.139939,3.354954,4.569969,5.784985,7,7,1.203646,2.407291,3.610937,4.814582,6.018228,1.215015,2.430031,3.645046,4.860061,4.860061,6.075077,0,0,0.981772,0.924923,1.092709,2.296354,3.5,4.703646,4.703646,5.907291,1.069969,2.284985,3.5,4.715015,5.930031,0.006911,-0.076152,-0.159214,-0.242277,-0.32534,-3.292347,-3.575533,-3.858719,-4.141905,-4.425091,-4.425091,0.074663,-0.0084,-0.091463,-0.174526,-0.257589,-3.076774,-3.35996,-3.643145,-3.926331,-3.926331,-4.209517,0.157725,-2.793588,0.089974,-3.009161,-0.05787,-0.140933,-0.223996,-0.307058,-0.307058,-0.390121,-3.572217,-3.855403,-4.138589,-4.421775,-4.704961
